date_2,avg_temp,avg_rain,avg_wetb,avg_vappr,avg_rhum,avg_wdsp,avg_wddir,avg_dewpt,avg_msl,season,day,month,year,dd
2017-05-02,17.7,-0.0,9.75,11.19,85.08,6.5,157.92,8.55,1019.82,Spring,2,5,2017,17.7
2017-05-03,17.45,-0.0,8.16,8.75,68.46,10.54,111.25,4.9,1024.88,Spring,3,5,2017,17.45
2017-05-04,17.3,-0.0,8.47,9.19,70.67,12.96,61.25,5.71,1022.97,Spring,4,5,2017,17.3
2017-05-05,18.0,-0.0,8.79,9.58,72.79,17.12,78.33,6.33,1018.13,Spring,5,5,2017,18.0
2017-05-06,16.8,-0.0,8.89,9.72,73.83,14.08,73.33,6.55,1014.17,Spring,6,5,2017,16.8
2017-05-07,19.7,-0.0,9.89,10.39,73.42,5.12,225.42,7.53,1023.62,Spring,7,5,2017,19.7
2017-05-08,18.9,-0.0,9.1,9.9,74.62,8.58,157.5,6.79,1027.52,Spring,8,5,2017,18.9
2017-05-09,16.75,-0.0,8.22,9.59,77.67,6.92,130.83,6.26,1021.87,Spring,9,5,2017,16.75
2017-05-10,15.649999999999999,-0.0,8.22,9.95,83.75,5.71,209.17,6.86,1007.17,Spring,10,5,2017,15.649999999999999
2017-05-11,18.75,-0.0,9.05,10.21,78.88,6.83,127.08,7.18,994.61,Spring,11,5,2017,18.75
2017-05-12,21.2,-0.0,10.96,11.64,78.5,8.54,278.33,9.15,994.08,Spring,12,5,2017,21.2
2017-05-13,17.85,0.16,10.54,12.08,89.0,14.92,204.58,9.68,1000.95,Spring,13,5,2017,17.85
2017-05-14,18.0,0.08,10.22,11.49,84.0,14.17,197.92,8.92,1013.41,Spring,14,5,2017,18.0
2017-05-15,18.85,1.15,12.57,14.55,99.0,21.38,184.17,12.55,1011.26,Spring,15,5,2017,18.85
2017-05-16,20.1,0.01,11.62,12.64,84.67,18.08,210.83,10.35,1016.42,Spring,16,5,2017,20.1
2017-05-17,18.549999999999997,0.16,9.85,11.02,82.0,11.71,222.92,8.34,1016.58,Spring,17,5,2017,18.549999999999997
2017-05-18,15.899999999999999,0.07,8.27,9.6,78.46,8.08,246.67,6.38,1012.78,Spring,18,5,2017,15.899999999999999
2017-05-19,16.05,0.12,8.27,10.03,84.21,7.88,267.5,6.97,1013.0,Spring,19,5,2017,16.05
2017-05-20,17.25,0.07,9.15,10.5,81.88,10.5,247.92,7.64,1015.19,Spring,20,5,2017,17.25
2017-05-21,19.0,-0.0,11.15,12.57,89.29,15.42,172.92,10.36,1016.02,Spring,21,5,2017,19.0
2017-05-22,21.450000000000003,-0.0,11.93,13.12,87.58,12.58,191.67,10.98,1012.75,Spring,22,5,2017,21.450000000000003
2017-05-23,24.299999999999997,-0.0,13.53,14.88,90.71,7.12,215.42,12.88,1021.0,Spring,23,5,2017,24.299999999999997
2017-05-24,20.65,-0.0,12.5,14.05,93.29,6.38,176.67,12.03,1025.7,Spring,24,5,2017,20.65
2017-05-25,23.1,-0.0,13.5,14.47,85.88,10.08,103.75,12.46,1019.95,Spring,25,5,2017,23.1
2017-05-26,23.0,0.01,13.72,14.88,88.25,9.88,132.92,12.88,1012.02,Spring,26,5,2017,23.0
2017-05-27,23.25,0.32,12.81,13.5,82.12,13.92,313.33,11.37,1012.17,Spring,27,5,2017,23.25
2017-05-28,20.35,0.06,11.08,12.28,85.71,7.54,168.75,9.97,1017.56,Spring,28,5,2017,20.35
